CVE-2016-10741	v3.16.63^0
CVE-2016-1237	v3.14.74~32
CVE-2016-2069	v3.2.77~49
CVE-2016-1575	v4.1.18~214
CVE-2016-1576	v4.1.18~214
CVE-2016-1583	v3.2.82~10
CVE-2016-2053	v3.16.35~504
CVE-2016-2070	v4.3.5~64
CVE-2016-2117	v3.12.60~14
CVE-2016-2085	v3.12.59~4
CVE-2016-2184	v3.2.80~80
CVE-2016-2185	v3.2.80~60
CVE-2016-2186	v3.2.80~83
CVE-2016-2187	v3.2.81~38
CVE-2016-2188	v3.2.89~34
CVE-2016-2383	v4.1.19~15
CVE-2016-2384	v3.2.78~8
CVE-2016-2543	v3.2.77~46
CVE-2016-2544	v3.2.77~45
CVE-2016-2545	v3.2.77~42
CVE-2016-2546	v3.2.77~41
CVE-2016-2547	v3.2.77~32
CVE-2016-2548	v3.2.77~32
CVE-2016-2549	v3.2.77~28
CVE-2016-2847	v3.2.78~5
CVE-2016-2782	v3.2.78~57
CVE-2016-3135	v4.4.21~65
CVE-2016-3070	v3.12.63~100
CVE-2016-3134	v3.2.80~2
CVE-2016-3136	v3.2.80~51
CVE-2016-3137	v3.2.80~50
CVE-2016-3138	v3.2.80~69
CVE-2016-3140	v3.2.80~49
CVE-2016-3156	v3.2.80~33
CVE-2016-3157	v3.2.80~76
CVE-2016-3689	v3.12.58~9
CVE-2016-3672	v3.2.80~36
CVE-2016-3713	v4.4.12~31
CVE-2016-3857	v3.2.84~88
CVE-2016-3951	v3.12.59~19
CVE-2016-3955	v3.2.80~34
CVE-2016-4482	v3.2.82~9
CVE-2016-4470	v3.2.82~40
CVE-2016-4558	v4.4.11~58
CVE-2016-4485	v3.2.81~4
CVE-2016-4486	v3.2.81~3
CVE-2016-4557	v4.4.11~59
CVE-2016-4568	v4.4.9~53
CVE-2016-4569	v3.2.82~8
CVE-2016-4578	v3.2.82~7
CVE-2016-4580	v3.2.81~2
CVE-2016-4581	v3.16.36~40
CVE-2016-4794	v3.18.37~226
CVE-2016-4805	v3.2.80~61
CVE-2016-4913	v3.2.81~6
CVE-2016-4951	v4.1.28~36
CVE-2016-5195	v3.12.66~2
CVE-2016-4997	v3.12.62~56
CVE-2016-4998	v3.12.62~56
CVE-2016-5400	v3.18.39~11
CVE-2016-5243	v3.2.82~5
CVE-2016-5244	v3.2.82~4
CVE-2016-5696	v3.12.63~54
CVE-2016-5728	v3.16.37~19
CVE-2016-5828	v3.14.74~42
CVE-2016-6162	v4.7~2^2~29
CVE-2016-6130	v3.12.64~79
CVE-2016-5829	v3.2.82~27
CVE-2016-6187	v4.6.5~113
CVE-2016-6156	v4.4.17~24
CVE-2016-6136	v3.2.82~2
CVE-2016-6197	v3.18.39~8
CVE-2016-6198	v4.4.11~18
CVE-2016-6327	v3.12.65~50
CVE-2016-6516	v4.6.6~4
CVE-2016-6480	v3.2.84~93
CVE-2016-6786	v3.2.85~16
CVE-2016-6787	v3.2.85~16
CVE-2016-7042	v3.2.84~12
CVE-2016-7117	v3.2.80~82
CVE-2016-7425	v3.2.84~11
CVE-2016-7910	v3.2.84~98
CVE-2016-7911	v3.2.85~13
CVE-2016-7912	v3.16.40~17
CVE-2016-7913	v3.12.70~13
CVE-2016-7914	v3.14.68~37
CVE-2016-7915	v3.2.85~12
CVE-2016-7916	v3.2.81~8
CVE-2016-8399	v4.1.37~4
CVE-2016-7917	v3.16.40~15
CVE-2016-8405	v3.2.85~11
CVE-2016-8630	v4.4.31~4
CVE-2016-8645	v3.2.85~7
CVE-2016-8636	v4.9.10~6
CVE-2016-8633	v3.2.84~10
CVE-2016-8646	v3.2.74~27
CVE-2016-8650	v3.12.69~22
CVE-2016-8655	v3.2.85~32
CVE-2016-8658	v3.12.66~4
CVE-2016-9084	v3.12.70~15
CVE-2016-9083	v3.12.70~15
CVE-2016-9120	v3.16.40~9
CVE-2016-9576	v4.9~22
CVE-2016-9191	v3.12.70~72
CVE-2016-9313	v4.8.7~116
CVE-2016-9588	v3.2.85^0
CVE-2016-9555	v3.2.85~5
CVE-2016-9644	v4.1.35^0
CVE-2016-9604	v3.2.89~31
CVE-2016-9754	v3.12.61~39
CVE-2016-9685	v3.2.80~98
CVE-2016-9756	v4.4.36~22
CVE-2016-9793	v3.12.69~6
CVE-2016-9777	v4.8.12~34
CVE-2016-9794	v3.2.85~2
CVE-2016-9806	v3.12.62~76
CVE-2017-0605	v3.2.89~14
CVE-2017-0627	v3.2.96~44
CVE-2017-0750	v3.18.51^0
CVE-2017-0786	v3.16.50~114
CVE-2017-0861	v3.2.100~110
CVE-2017-1000	v3.16.47~4
CVE-2017-1000111	v3.2.92~2
CVE-2017-1000112	v3.16.47~4
CVE-2017-1000251	v3.2.94~11
CVE-2017-1000252	v4.4.90~20
CVE-2017-1000253	v3.2.70~124
CVE-2017-1000363	v3.2.91~5
CVE-2017-1000365	v3.2.91~4
CVE-2017-1000370	v4.1.43~23
CVE-2017-1000371	v4.1.43~23
CVE-2017-1000380	v3.2.91~3
CVE-2017-1000407	v3.2.97~8
CVE-2017-1000410	v3.16.54~20
CVE-2017-10662	v3.18.53~4
CVE-2017-10661	v3.2.92~4
CVE-2017-10663	v3.18.64~26
CVE-2017-10911	v3.2.91~6
CVE-2017-10810	v4.4.77~51
CVE-2017-11089	v3.16.49~96
CVE-2017-11176	v3.2.92~3
CVE-2017-11472	v4.4.114~48
CVE-2017-11473	v3.2.95~138
CVE-2017-11600	v3.2.93~9
CVE-2017-12134	v3.2.93~8
CVE-2017-12146	v3.18.60^0
CVE-2017-12153	v3.2.94~16
CVE-2017-12168	v4.8.11~65
CVE-2017-12188	v4.9.57~2
CVE-2017-12154	v3.2.94~15
CVE-2017-12190	v3.2.95~70
CVE-2017-12192	v3.16.50~112
CVE-2017-12193	v3.16.50~111
CVE-2017-12762	v3.18.64~77
CVE-2017-13166	v4.14.20~77
CVE-2017-13080	v3.2.95~69
CVE-2017-13168	v3.16.61~166
CVE-2017-13167	v3.2.78~12
CVE-2017-13215	v3.2.77~7
CVE-2017-13216	v3.16.54~22
CVE-2017-13305	v3.16.62~9
CVE-2017-13220	v3.16.57~404
CVE-2017-13695	v3.18.111~42
CVE-2017-14051	v3.2.96~33
CVE-2017-14140	v3.2.93~3
CVE-2017-14106	v3.2.93~10
CVE-2017-14156	v3.2.94~14
CVE-2017-14497	v4.9.51~71
CVE-2017-14489	v3.2.94~12
CVE-2017-14991	v3.16.85~29
CVE-2017-14954	v4.13.5~25
CVE-2017-15102	v3.2.85~101
CVE-2017-15126	v4.13.6~60
CVE-2017-15115	v3.2.96~9
CVE-2017-15128	v4.13.12~19
CVE-2017-15129	v4.4.109~19
CVE-2017-15265	v3.2.95~68
CVE-2017-15299	v3.2.95~67
CVE-2017-15274	v3.2.93~33
CVE-2017-15306	v4.9.60~19
CVE-2017-15537	v3.18.73~5
CVE-2017-15649	v3.2.95~64
CVE-2017-15868	v3.2.97~10
CVE-2017-16525	v3.2.96~8
CVE-2017-16526	v3.2.97~89
CVE-2017-16527	v3.2.95~63
CVE-2017-16530	v3.16.50~103
CVE-2017-16528	v4.1.47~69
CVE-2017-16529	v3.2.95~62
CVE-2017-16532	v3.2.95~60
CVE-2017-16531	v3.2.95~61
CVE-2017-16533	v3.2.95~59
CVE-2017-16534	v3.18.85~21
CVE-2017-16535	v3.2.95~58
CVE-2017-16536	v3.2.96~7
CVE-2017-16537	v3.2.96~6
CVE-2017-16538	v3.16.57~403
CVE-2017-16643	v3.2.96~5
CVE-2017-16644	v4.9.82~75
CVE-2017-16646	v3.18.83~38
CVE-2017-16645	v3.16.52~19
CVE-2017-16647	v4.9.65~19
CVE-2017-16648	v4.14.7~2
CVE-2017-16649	v3.2.96~4
CVE-2017-16650	v3.16.51~9
CVE-2017-16911	v3.2.99~6
CVE-2017-16912	v3.2.99~8
CVE-2017-16913	v3.2.99~7
CVE-2017-16914	v3.2.99~5
CVE-2017-16939	v3.2.97~34
CVE-2017-16994	v4.1.47~2
CVE-2017-16995	v4.4.123~2
CVE-2017-16996	v4.14.9~9
CVE-2017-17052	v4.9.46~45
CVE-2017-17448	v3.16.52~18
CVE-2017-17449	v3.16.52~17
CVE-2017-17450	v3.16.52~16
CVE-2017-17558	v3.2.97~9
CVE-2017-17712	v4.1.52~548
CVE-2017-17741	v3.2.97~5
CVE-2017-17805	v3.2.97~4
CVE-2017-17854	v4.14.9~4
CVE-2017-17807	v3.2.97~2
CVE-2017-17853	v4.14.9~11
CVE-2017-17855	v4.14.9~5
CVE-2017-17806	v3.2.97~3
CVE-2017-17857	v4.14.9~7
CVE-2017-17852	v4.14.9~8
CVE-2017-17864	v4.9.72~4
CVE-2017-17856	v4.14.9~6
CVE-2017-17975	v3.18.103~16
CVE-2017-18075	v4.4.111~19
CVE-2017-18079	v3.2.94~33
CVE-2017-18017	v3.2.99~15
CVE-2017-18193	v4.4.120~34
CVE-2017-18202	v4.9.68~104
CVE-2017-18203	v3.2.99~45
CVE-2017-18204	v3.18.84~4
CVE-2017-18208	v3.2.102~153
CVE-2017-18216	v3.2.102~152
CVE-2017-18222	v4.4.124~31
CVE-2017-18221	v3.16.48~122
CVE-2017-18224	v4.9.114~57
CVE-2017-18249	v4.4.172~86
CVE-2017-18241	v3.16.57~398
CVE-2017-18218	v4.9.92~2
CVE-2017-18255	v3.18.109~23
CVE-2017-18257	v4.4.132~16
CVE-2017-18344	v3.2.100~94
CVE-2017-18509	v3.16.71^0
CVE-2017-18360	v3.2.93~100
CVE-2017-18595	v3.16.55~112
CVE-2017-18551	v3.2.100~34
CVE-2017-2583	v3.12.70~85
CVE-2017-2584	v3.12.70~82
CVE-2017-2596	v3.16.42~7
CVE-2017-2618	v3.12.71~76
CVE-2017-2636	v3.2.87~2
CVE-2017-2671	v3.2.89~30
CVE-2017-5546	v4.9.5~100
CVE-2017-5548	v4.9.6~86
CVE-2017-5123	v4.13.7~2
CVE-2017-5547	v4.4.45~27
CVE-2017-5549	v3.2.86~4
CVE-2017-5550	v4.9.5~68
CVE-2017-5576	v4.9.7~61
CVE-2017-5551	v3.12.70~2
CVE-2017-5577	v4.9.7~60
CVE-2017-5669	v3.2.87~7
CVE-2017-5970	v3.2.87^0
CVE-2017-5897	v3.12.71~59
CVE-2017-5986	v3.2.87~6
CVE-2017-6001	v3.2.85~14
CVE-2017-6074	v3.2.86~3
CVE-2017-6345	v3.12.71~44
CVE-2017-6214	v3.2.86~2
CVE-2017-6347	v4.4.52~18
CVE-2017-6346	v3.2.87~56
CVE-2017-6874	v4.9.16~29
CVE-2017-6348	v3.2.87~49
CVE-2017-6353	v3.2.87~5
CVE-2017-7184	v3.2.89~29
CVE-2017-7187	v3.18.50~80
CVE-2017-7261	v3.2.89~27
CVE-2017-7277	v4.10.14~27
CVE-2017-7273	v3.2.87~115
CVE-2017-7294	v3.2.89~26
CVE-2017-7308	v3.2.89~24
CVE-2017-7346	v3.16.45~4
CVE-2017-7477	v4.9.26~5
CVE-2017-7472	v3.2.89~21
CVE-2017-7487	v3.2.89~13
CVE-2017-7482	v3.2.90~4
CVE-2017-7518	v3.16.45~2
CVE-2017-7495	v3.12.70~232
CVE-2017-7541	v3.16.48~6
CVE-2017-7542	v3.2.92~5
CVE-2017-7558	v4.9.51~75
CVE-2017-7616	v3.2.89~20
CVE-2017-7618	v3.2.89~15
CVE-2017-7645	v3.2.89~12
CVE-2017-7889	v3.2.91~7
CVE-2017-7895	v3.2.89~10
CVE-2017-8061	v4.9.24~6
CVE-2017-8063	v4.9.24~5
CVE-2017-8062	v4.9.16~27
CVE-2017-8064	v3.12.74~52
CVE-2017-8068	v4.9.11~20
CVE-2017-8067	v4.9.24~4
CVE-2017-8071	v4.9.9~62
CVE-2017-8069	v4.9.11~19
CVE-2017-8066	v4.9.14~59
CVE-2017-8070	v4.9.11~17
CVE-2017-8072	v4.9.9~61
CVE-2017-8240	v3.18.5~60
CVE-2017-8797	v4.9.30~5
CVE-2017-8824	v3.2.97~13
CVE-2017-8831	v3.2.94~17
CVE-2017-8890	v3.2.89~9
CVE-2017-8924	v3.2.89~8
CVE-2017-9059	v4.9.52~73
CVE-2017-8925	v3.2.89~7
CVE-2017-9074	v3.2.89~6
CVE-2017-9076	v3.2.89~3
CVE-2017-9077	v3.2.89~3
CVE-2017-9075	v3.2.89~4
CVE-2017-9211	v4.9.31~54
CVE-2017-9150	v4.4.100~57
CVE-2017-9242	v3.2.89~2
CVE-2017-9605	v3.16.46~7
CVE-2017-9725	v3.16.64~16
CVE-2017-9984	v3.18.71~5
CVE-2017-9985	v3.18.71~5
CVE-2018-1000026	v4.4.181~28
CVE-2018-1000004	v3.2.99~12
CVE-2018-1000200	v4.14.41~32
CVE-2018-1000028	v3.2.100~95
CVE-2018-1000199	v3.2.102~129
CVE-2018-1000204	v3.16.58~45
CVE-2018-10021	v3.16.58~43
CVE-2018-10087	v3.18.110~25
CVE-2018-10124	v3.18.111~176
CVE-2018-1065	v4.4.122~31
CVE-2018-10323	v3.16.58~42
CVE-2018-1066	v3.16.65~2
CVE-2018-10675	v3.2.95~110
CVE-2018-1087	v3.16.57~394
CVE-2018-10853	v4.14.50~14
CVE-2018-10840	v4.14.52~37
CVE-2018-1068	v3.2.102~151
CVE-2018-10877	v3.16.58~39
CVE-2018-10876	v3.16.58~41
CVE-2018-10878	v3.16.58~38
CVE-2018-10880	v3.16.58~32
CVE-2018-10882	v3.16.58~30
CVE-2018-10879	v3.16.58~36
CVE-2018-10881	v3.16.58~31
CVE-2018-10883	v3.16.58~29
CVE-2018-10902	v3.16.58~23
CVE-2018-1091	v4.9.53~40
CVE-2018-1092	v3.2.102~149
CVE-2018-10938	v3.18.121~56
CVE-2018-1093	v3.2.102~147
CVE-2018-1094	v4.14.36~85
CVE-2018-10940	v3.2.102~131
CVE-2018-1095	v4.14.36~87
CVE-2018-1108	v4.9.96~22
CVE-2018-1120	v4.4.168~7
CVE-2018-1129	v4.9.144~49
CVE-2018-11232	v4.10.2~131
CVE-2018-1118	v4.9.110~3
CVE-2018-11412	v4.14.52~39
CVE-2018-12126	v4.14.119~6
CVE-2018-11506	v4.14.45~473
CVE-2018-11508	v4.14.41~42
CVE-2018-1130	v3.2.102~145
CVE-2018-12127	v4.14.119~6
CVE-2018-12130	v4.14.119~6
CVE-2018-12896	v3.16.62~7
CVE-2018-12714	v4.17.4~30
CVE-2018-12633	v4.17.4~2
CVE-2018-12233	v3.16.58~46
CVE-2018-12232	v4.14.52~47
CVE-2018-12904	v4.14.50~31
CVE-2018-13053	v3.16.62~313
CVE-2018-13096	v4.4.172~76
CVE-2018-13094	v3.16.58~12
CVE-2018-13093	v3.16.58~13
CVE-2018-13098	v4.14.86~100
CVE-2018-13099	v4.4.172~75
CVE-2018-13100	v4.4.172~79
CVE-2018-13097	v4.4.172~78
CVE-2018-13405	v3.16.58~27
CVE-2018-13406	v3.16.58~17
CVE-2018-14610	v3.16.83~198
CVE-2018-14609	v3.16.58~16
CVE-2018-14611	v3.16.83~199
CVE-2018-14612	v3.16.83~200
CVE-2018-14613	v3.16.83~201
CVE-2018-14615	v4.14.86~96
CVE-2018-14614	v4.4.172~72
